iter	Passed	Remaining
422	2356	3214
423	2362	3209
424	2368	3204
425	2375	3200
426	2380	3194
427	2387	3191
428	2392	3184
429	2399	3180
430	2405	3175
431	2408	3166
432	2413	3161
433	2419	3154
434	2424	3148
435	2429	3142
436	2432	3133
437	2437	3128
438	2443	3122
439	2448	3116
440	2454	3111
441	2460	3105
442	2464	3098
443	2470	3093
444	2475	3086
445	2480	3080
446	2485	3074
447	2490	3068
448	2494	3061
449	2499	3054
450	2504	3048
451	2509	3042
452	2514	3036
453	2520	3030
454	2525	3024
455	2530	3019
456	2535	3013
457	2541	3007
458	2546	3001
459	2552	2996
460	2557	2990
461	2563	2984
462	2568	2978
463	2574	2973
464	2579	2968
465	2586	2964
466	2592	2958
467	2596	2951
468	2601	2945
469	2607	2940
470	2613	2935
471	2619	2930
472	2626	2925
473	2632	2921
474	2638	2916
475	2644	2911
476	2650	2905
477	2656	2901
478	2659	2893
479	2665	2888
480	2671	2883
481	2677	2877
482	2684	2873
483	2690	2867
484	2696	2863
485	2702	2858
486	2708	2853
487	2714	2847
488	2720	2843
489	2726	2838
490	2732	2832
491	2737	2826
492	2742	2820
493	2748	2815
494	2753	2809
495	2759	2803
496	2764	2798
497	2769	2791
498	2775	2786
499	2780	2780
500	2786	2774
501	2791	2769
502	2797	2763
503	2802	2758
504	2808	2752
505	2814	2747
506	2819	2741
507	2824	2735
508	2829	2729
509	2835	2724
510	2839	2717
511	2845	2712
512	2851	2706
513	2856	2700
514	2861	2694
515	2866	2688
516	2872	2683
517	2877	2677
518	2882	2671
519	2887	2665
520	2893	2660
521	2899	2655
522	2906	2650
523	2912	2645
524	2918	2640
525	2924	2635
526	2929	2629
527	2937	2625
528	2943	2620
529	2949	2616
530	2957	2611
531	2962	2605
532	2969	2601
533	2975	2597
534	2982	2592
535	2987	2586
536	2993	2580
537	2999	2575
538	3005	2570
539	3012	2565
540	3018	2560
541	3024	2556
542	3031	2550
543	3037	2546
544	3044	2541
545	3050	2536
546	3057	2531
547	3062	2525
548	3066	2518
549	3069	2511
550	3075	2505
551	3081	2500
552	3086	2495
553	3091	2489
554	3097	2483
555	3103	2478
556	3109	2472
557	3114	2466
558	3119	2461
559	3123	2454
560	3129	2448
561	3135	2443
562	3140	2437
563	3145	2431
564	3151	2426
565	3157	2421
566	3163	2415
567	3170	2411
568	3176	2406
569	3182	2400
570	3188	2395
571	3194	2390
572	3200	2385
573	3206	2380
574	3212	2374
575	3216	2367
576	3221	2362
577	3227	2356
578	3233	2350
579	3239	2345
580	3243	2339
581	3248	2333
582	3254	2327
583	3260	2322
584	3266	2317
585	3272	2311
586	3279	2307
587	3285	2301
588	3290	2296
589	3297	2291
590	3302	2285
591	3309	2280
592	3314	2274
593	3320	2269
594	3325	2263
595	3330	2257
596	3335	2251
597	3341	2246
598	3345	2239
599	3351	2234
600	3357	2228
601	3362	2223
602	3367	2217
603	3372	2211
604	3376	2204
605	3381	2198
606	3386	2192
607	3392	2187
608	3398	2181
609	3405	2177
610	3411	2171
611	3416	2166
612	3423	2161
613	3427	2154
614	3432	2148
615	3438	2143
616	3444	2138
617	3450	2133
618	3457	2127
619	3462	2122
620	3469	2117
621	3475	2112
622	3482	2107
623	3487	2101
624	3493	2096
625	3499	2090
626	3505	2085
627	3511	2080
628	3517	2074
629	3522	2068
630	3529	2063
631	3535	2058
632	3540	2052
633	3546	2047
634	3551	2041
635	3557	2036
636	3562	2030
637	3568	2024
638	3573	2018
639	3579	2013
640	3584	2007
641	3589	2001
642	3594	1995
643	3600	1990
644	3605	1984
645	3610	1978
646	3616	1972
647	3621	1967
648	3627	1961
649	3632	1956
650	3639	1951
651	3645	1945
652	3651	1940
653	3657	1935
654	3663	1929
655	3669	1924
656	3675	1918
657	3681	1913
658	3688	1908
659	3694	1903
660	3699	1897
661	3705	1892
662	3711	1886
663	3718	1881
664	3723	1875
665	3728	1870
666	3734	1864
667	3741	1859
668	3746	1853
669	3752	1848
670	3758	1843
671	3765	1837
672	3771	1832
673	3777	1826
674	3783	1821
675	3788	1815
676	3793	1810
677	3799	1804
678	3803	1798
679	3808	1792
680	3813	1786
681	3819	1780
682	3825	1775
683	3829	1769
684	3835	1763
685	3841	1758
686	3846	1752
687	3852	1747
688	3857	1741
689	3863	1735
690	3868	1730
691	3874	1724
692	3880	1719
693	3887	1714
694	3892	1708
695	3899	1703
696	3905	1697
697	3911	1692
698	3915	1685
699	3921	1680
700	3927	1675
701	3934	1670
702	3939	1664
703	3945	1659
704	3951	1653
705	3958	1648
706	3964	1643
707	3970	1637
708	3977	1632
709	3982	1626
710	3989	1621
711	3994	1615
712	4002	1611
713	4009	1606
714	4015	1600
715	4021	1595
716	4028	1589
717	4034	1584
718	4039	1578
719	4045	1573
720	4050	1567
721	4056	1561
722	4061	1555
723	4066	1550
724	4071	1544
725	4077	1538
726	4083	1533
727	4088	1527
728	4093	1521
729	4098	1515
730	4104	1510
731	4109	1504
732	4114	1498
733	4119	1492
734	4124	1487
735	4128	1481
736	4134	1475
737	4139	1469
738	4144	1463
739	4149	1458
740	4155	1452
741	4160	1446
742	4165	1440
743	4170	1435
744	4176	1429
745	4181	1423
746	4185	1417
747	4190	1411
748	4196	1406
749	4203	1401
750	4208	1395
751	4215	1390
752	4220	1384
753	4227	1379
754	4234	1374
755	4240	1368
756	4247	1363
757	4252	1357
758	4258	1352
759	4265	1347
760	4272	1341
761	4278	1336
762	4285	1331
763	4291	1325
764	4298	1320
765	4303	1314
766	4309	1309
767	4315	1303
768	4320	1297
769	4327	1292
770	4333	1287
771	4339	1281
772	4346	1276
773	4352	1270
774	4358	1265
775	4363	1259
776	4368	1253
777	4374	1248
778	4379	1242
779	4384	1236
780	4390	1231
781	4395	1225
782	4400	1219
783	4406	1213
784	4411	1208
785	4416	1202
786	4421	1196
787	4426	1190
788	4431	1185
789	4436	1179
790	4442	1173
791	4447	1168
792	4453	1162
793	4458	1156
794	4464	1151
795	4469	1145
796	4474	1139
797	4479	1133
798	4485	1128
799	4491	1122
800	4497	1117
801	4503	1111
802	4508	1106
803	4515	1100
804	4523	1095
805	4531	1090
806	4537	1085
807	4545	1080
808	4552	1074
809	4560	1069
810	4567	1064
811	4574	1059
812	4582	1053
813	4589	1048
814	4597	1043
815	4605	1038
816	4612	1033
817	4619	1027
818	4627	1022
819	4634	1017
820	4641	1012
821	4647	1006
822	4653	1000
823	4659	995
824	4666	989
825	4672	984
826	4678	978
827	4684	973
828	4690	967
829	4695	961
830	4701	956
831	4707	950
832	4712	944
833	4717	938
834	4722	933
835	4728	927
836	4734	921
837	4739	916
838	4746	910
839	4751	904
840	4756	899
841	4761	893
842	4767	887
843	4773	882
844	4778	876
845	4784	870
846	4790	865
847	4796	859
848	4802	854
849	4807	848
850	4812	842
851	4817	836
852	4822	831
853	4828	825
854	4833	819
855	4839	814
856	4845	808
857	4851	802
858	4857	797
859	4862	791
860	4868	786
861	4875	780
862	4881	774
863	4887	769
864	4894	763
865	4900	758
866	4906	752
867	4912	747
868	4919	741
869	4926	736
870	4932	730
871	4937	724
872	4943	719
873	4950	713
874	4956	708
875	4962	702
876	4969	696
877	4975	691
878	4981	685
879	4987	680
880	4993	674
881	4999	668
882	5005	663
883	5010	657
884	5016	651
885	5021	646
886	5027	640
887	5032	634
888	5037	628
889	5043	623
890	5048	617
891	5054	611
892	5060	606
893	5065	600
894	5070	594
895	5075	589
896	5080	583
897	5086	577
898	5091	572
899	5096	566
900	5102	560
901	5107	554
902	5112	549
903	5117	543
904	5122	537
905	5127	531
906	5132	526
907	5137	520
908	5143	514
909	5148	509
910	5153	503
911	5158	497
912	5163	492
913	5168	486
914	5173	480
915	5178	474
916	5183	469
917	5189	463
918	5194	457
919	5199	452
920	5204	446
921	5209	440
922	5215	435
923	5220	429
924	5226	423
925	5231	418
926	5236	412
927	5242	406
928	5248	401
929	5255	395
930	5261	389
931	5267	384
932	5273	378
933	5280	373
934	5286	367
935	5292	361
936	5298	356
937	5305	350
938	5311	345
939	5317	339
940	5323	333
941	5328	328
942	5334	322
943	5341	316
944	5347	311
945	5353	305
946	5359	299
947	5365	294
948	5371	288
949	5377	283
950	5382	277
951	5388	271
952	5394	266
953	5400	260
954	5406	254
955	5412	249
956	5418	243
957	5423	237
958	5428	232
959	5433	226
960	5439	220
961	5444	215
962	5449	209
963	5455	203
964	5460	198
965	5465	192
966	5471	186
967	5476	181
968	5481	175
969	5486	169
970	5492	164
971	5496	158
972	5503	152
973	5509	147
974	5514	141
975	5519	135
976	5525	130
977	5530	124
978	5535	118
979	5540	113
980	5545	107
981	5551	101
982	5557	96
983	5561	90
984	5566	84
985	5571	79
986	5577	73
987	5582	67
988	5587	62
989	5592	56
990	5598	50
991	5603	45
992	5608	39
993	5613	33
994	5618	28
995	5624	22
996	5629	16
997	5634	11
998	5640	5
999	5646	0
