iter	Logloss
0	0.6863232167
1	0.6811180772
2	0.6759994644
3	0.6703339511
4	0.6643546131
5	0.6584315903
6	0.6527034736
7	0.6480366813
8	0.6436166928
9	0.6387296494
10	0.6341063077
11	0.629159797
12	0.6257866845
13	0.6213789463
14	0.6169182331
15	0.6125089084
16	0.6080138558
17	0.6040663068
18	0.5993584603
19	0.5952130294
20	0.5915024937
21	0.5875954336
22	0.5832886398
23	0.5797865042
24	0.5761011165
25	0.5717124625
26	0.5688167609
27	0.5650396074
28	0.5613401697
29	0.5585339154
30	0.5547510861
31	0.5510788725
32	0.5480125044
33	0.5446982883
34	0.5413967522
35	0.5383665584
36	0.5352670793
37	0.5330599597
38	0.5307123116
39	0.5283221679
40	0.5253864007
41	0.5227161396
42	0.5196276998
43	0.5167799132
44	0.5141997125
45	0.5118974205
46	0.5098168584
47	0.5074249206
48	0.5050270837
49	0.5028776338
50	0.5000548829
51	0.4981291966
52	0.4955923998
53	0.4930066691
54	0.4912359556
55	0.4892502914
56	0.4874077183
57	0.4855364266
58	0.4834614902
59	0.4812104968
60	0.4790634094
61	0.4770349475
62	0.4750252764
63	0.4729255658
64	0.4719792875
65	0.4703446682
66	0.4687121634
67	0.4668646923
68	0.4647684458
69	0.463398929
70	0.461677351
71	0.4605580745
72	0.4589275156
73	0.4576065865
74	0.4561866177
75	0.4549403635
76	0.4531898013
77	0.4516459438
78	0.4507114687
79	0.4490602287
80	0.4477355935
81	0.4464112304
82	0.4452765881
83	0.4440844005
84	0.4425601963
85	0.4415948262
86	0.4403360112
87	0.4394911757
88	0.4382383066
89	0.4372792229
90	0.435660614
91	0.4342376885
92	0.4337496244
93	0.4327152158
94	0.431746238
95	0.4303210865
96	0.4299265316
97	0.4287507461
98	0.4278954414
99	0.4267493765
100	0.4258946218
101	0.4249261073
102	0.4242052472
103	0.4234112107
104	0.4222947568
105	0.421238215
106	0.4201915626
107	0.4194196868
108	0.4182075237
109	0.4171196882
110	0.4163771834
111	0.4153618335
112	0.4141155291
113	0.4132987874
114	0.4124155537
115	0.4114753005
116	0.4105300805
117	0.4097516825
118	0.4089788218
119	0.4080036222
120	0.4072530499
121	0.4063613024
122	0.4056295124
123	0.405170271
124	0.4042627027
125	0.4036081623
126	0.4030196945
127	0.4024969309
128	0.4019383336
129	0.4016239376
130	0.4009207105
131	0.4003031176
132	0.3997252601
133	0.399082279
134	0.3985644152
135	0.397912528
136	0.397260973
137	0.3965140451
138	0.3960070585
139	0.3956165918
140	0.3952611435
141	0.3945873757
142	0.3938474663
143	0.3933230091
144	0.3925909999
145	0.3919224767
146	0.3911860649
147	0.3908965869
148	0.3905743068
149	0.3903854286
150	0.3897036472
151	0.3892343819
152	0.3888776432
153	0.3884913739
154	0.3880490755
155	0.3876899727
156	0.3875300097
157	0.3871855294
158	0.3866980223
159	0.3862093365
160	0.3857308481
161	0.3853005148
162	0.3849180143
163	0.3844724079
164	0.3839093448
165	0.3836203542
166	0.3831344713
167	0.3826480211
168	0.3822335675
169	0.3817235478
170	0.3811343927
171	0.3807773211
172	0.380352837
173	0.3799517851
174	0.3794982444
175	0.379073798
176	0.3786006478
177	0.3783953864
178	0.3780104386
179	0.3776895221
180	0.3773498494
181	0.3769464009
182	0.3764527431
183	0.375878293
184	0.3756028771
185	0.3751553664
186	0.3749082744
187	0.3745165146
188	0.3740770552
189	0.3737296963
190	0.3733761275
191	0.3730828445
192	0.3727775502
