iter	Logloss
0	0.6374052246
1	0.5870915659
2	0.5408933292
3	0.5126571494
4	0.4782233
5	0.4485205079
6	0.4231536374
7	0.4053043262
8	0.3874873204
9	0.3695433776
10	0.3548478638
11	0.3457553464
12	0.3376912838
13	0.3291917147
14	0.3204857863
15	0.3120734494
16	0.3057039084
17	0.2985318438
18	0.2932963034
19	0.2895153343
20	0.2845242633
21	0.2809436592
22	0.2774132191
23	0.2745085019
24	0.2712477178
25	0.2684371053
26	0.2670167514
27	0.264466453
28	0.2631875911
29	0.2615637977
30	0.2593406719
31	0.2577209325
32	0.2565069319
33	0.2549775882
34	0.2537641527
35	0.2528937132
36	0.2519206958
37	0.250472411
38	0.249321372
39	0.2483227968
40	0.2472842859
41	0.2465391558
42	0.2458279214
43	0.2453810339
44	0.2446642143
45	0.2439336328
46	0.2435439763
47	0.2429748918
48	0.2424835363
49	0.2419616638
50	0.2415559602
51	0.2408151348
52	0.2404444672
53	0.2400849381
54	0.2396501707
55	0.2391247506
56	0.2387073669
57	0.2381879809
58	0.2379669844
59	0.2376660397
60	0.2371688679
61	0.236839209
62	0.236499015
63	0.2361715662
64	0.2358039315
65	0.2355676001
66	0.2352666299
67	0.2349602436
68	0.234706697
69	0.234457302
70	0.2342018681
71	0.2340094952
72	0.2336604703
73	0.2334800461
74	0.2332551865
75	0.2331210333
76	0.2328684752
77	0.2326200784
78	0.2323724017
79	0.2322425199
80	0.2319884353
81	0.2318150229
82	0.2316356367
83	0.2314445043
84	0.231255532
85	0.2309530417
86	0.2306701378
87	0.2305038623
88	0.230321398
89	0.2302239628
90	0.2300356081
91	0.2299697769
92	0.2298226544
93	0.2296960542
94	0.2295700145
95	0.2293857318
96	0.2292080801
97	0.2289869926
98	0.228913692
99	0.2287452519
100	0.2285952936
101	0.2283958846
102	0.2282344816
103	0.2281790382
104	0.2280006483
105	0.2278187706
106	0.2276341668
107	0.2274692942
108	0.2273423878
109	0.2272391611
110	0.2271834029
111	0.2270083401
112	0.2268737445
113	0.2267191742
114	0.2266320332
115	0.226540263
116	0.2264285046
117	0.2263208706
118	0.2261553473
119	0.2260544959
120	0.225944978
121	0.2258207291
122	0.2257692828
123	0.2256925563
124	0.2255452036
125	0.2254933293
126	0.225325003
127	0.2252165787
128	0.2251253664
129	0.2249911259
130	0.2249329863
131	0.2248114434
132	0.2246740441
133	0.224571132
134	0.2244512238
135	0.224376531
136	0.224277081
137	0.2242135502
138	0.2241347342
139	0.2240614694
140	0.2240050335
141	0.2239443031
142	0.2238820227
143	0.2237820267
144	0.2236666118
145	0.2235901945
146	0.2234898114
147	0.2234276961
148	0.2233429969
149	0.2232562198
150	0.2232098496
151	0.2230842822
152	0.2230587836
153	0.2229982917
154	0.2229158311
155	0.2228340504
156	0.2227408483
157	0.222663137
158	0.2225118747
159	0.2224287243
160	0.2223631703
161	0.2222313905
162	0.2220914613
163	0.2220194981
164	0.2219162511
165	0.2218546213
166	0.2218541251
167	0.2218184788
168	0.2217525411
169	0.2216864949
170	0.2216027383
171	0.2215590646
172	0.2214874593
173	0.2214228909
174	0.2213423675
175	0.2212766138
176	0.2212013029
177	0.2211062987
178	0.2210128109
179	0.220887172
180	0.2207805067
181	0.2207163107
182	0.2206576455
183	0.2205501688
184	0.2204315392
185	0.2203689816
186	0.2202860641
187	0.2201804488
188	0.2201022089
189	0.2200356691
190	0.2199169781
191	0.2198607738
192	0.2197480321
193	0.2196501957
194	0.2196363308
195	0.2195128426
196	0.2194498941
197	0.2193596377
198	0.2192884078
199	0.219193346
200	0.2191336737
201	0.2191208257
202	0.2190397681
203	0.2189360715
204	0.2188569361
205	0.2187639225
206	0.2186810889
207	0.2186000792
208	0.2185162839
209	0.218464879
210	0.2183790587
211	0.218289343
212	0.218225756
213	0.2181807439
214	0.2180918009
215	0.2180116128
216	0.2179361014
217	0.2178704638
218	0.2178171771
219	0.217714639
220	0.2176587938
221	0.2175735446
222	0.2174964985
223	0.2174134563
224	0.2173369065
225	0.2172692982
226	0.2172242509
227	0.2171869629
228	0.2170854223
229	0.217006233
230	0.2169392424
231	0.2168836021
232	0.2167951383
233	0.2167355207
234	0.2167068586
235	0.2166257237
236	0.2165481194
237	0.2164407214
238	0.2164096264
239	0.2163441027
240	0.2162263299
241	0.2161424489
242	0.2160795947
243	0.2160198085
244	0.2159561865
245	0.215851569
246	0.2158292369
247	0.2157757172
248	0.2156908333
249	0.2156178767
250	0.2155638297
251	0.2155372907
252	0.2153992358
253	0.2153387049
254	0.2152658396
255	0.2151816239
256	0.2151370272
257	0.2150646689
258	0.2150337024
259	0.2149345215
260	0.214852392
261	0.2147662115
262	0.2147249144
263	0.2146874376
264	0.214610811
265	0.2145499414
266	0.2144475256
267	0.2143736552
268	0.2142932877
269	0.2142349379
270	0.2142047587
271	0.2141323158
272	0.2140922524
273	0.2140231575
274	0.2139636511
275	0.2139099843
276	0.2138434501
277	0.2137664427
278	0.2137159632
279	0.2136428872
280	0.2135914513
281	0.2135281798
282	0.2134901844
283	0.2134476796
284	0.2133550346
285	0.2132916552
286	0.2132265722
287	0.2131556304
288	0.2130829639
289	0.2130025056
290	0.2129375258
291	0.2128149424
292	0.2127254988
293	0.2126320887
294	0.2125623329
295	0.2125191163
296	0.2124921026
297	0.2124183147
298	0.2124003546
299	0.2123769573
300	0.2122995525
301	0.2122432703
302	0.212184655
303	0.2121289906
304	0.2120357734
305	0.2119700163
306	0.2119288914
307	0.2118355537
308	0.2118046905
309	0.2117500101
310	0.211691862
311	0.2116160365
312	0.211549176
313	0.2114988945
314	0.2114404719
315	0.211379402
316	0.2113248958
317	0.2112663969
318	0.2111776312
319	0.2110946979
320	0.2110755629
321	0.2110091291
322	0.2109718906
323	0.2109172572
324	0.2108558937
325	0.2107699467
326	0.2107243568
327	0.2106554494
328	0.2105880272
329	0.2105210207
330	0.2104257782
331	0.2103595194
332	0.210312571
333	0.2102472025
334	0.2101918688
335	0.2101517564
336	0.2100950123
337	0.2099820317
338	0.2099430872
339	0.2098949131
340	0.2098181876
341	0.2097831019
342	0.2097461883
343	0.2097201278
344	0.2096504279
345	0.2096141006
346	0.2095702447
347	0.2094771583
348	0.2093712434
349	0.2093136643
350	0.2092617884
351	0.2091875444
352	0.2091329352
353	0.2090782123
354	0.2090482371
355	0.2089896577
356	0.2089432238
357	0.2088755977
358	0.2088203838
359	0.2087960672
360	0.2087349999
361	0.2087055962
362	0.2086579609
363	0.2086133955
364	0.2085390736
365	0.2085008535
366	0.2084281463
367	0.2083669829
368	0.2083141767
369	0.2082408574
370	0.208211598
371	0.2081614823
372	0.2080608791
373	0.2080063051
374	0.2079464104
375	0.2078815682
376	0.2078311714
377	0.2077667687
378	0.2077365776
379	0.2076978576
380	0.2076308187
381	0.2075598834
382	0.2074826965
383	0.2074250872
384	0.2073917232
385	0.2073734904
386	0.2073232595
387	0.2072684771
388	0.2071971751
389	0.2071505415
390	0.2070966651
391	0.207049102
392	0.2069233875
393	0.2068668281
394	0.206804477
395	0.2067946008
396	0.2067689999
397	0.2066816666
398	0.2065941847
399	0.206545812
400	0.206509124
401	0.2064568121
402	0.2064426272
403	0.206395798
404	0.2063575116
405	0.2062990412
406	0.206252096
407	0.2061709584
408	0.2061369324
409	0.2060940762
410	0.2060513787
411	0.2059674217
412	0.2059531432
413	0.2059198685
414	0.2058518289
415	0.2057919634
416	0.2057357522
417	0.2056674208
418	0.2056400658
419	0.2056021958
420	0.2055513867
421	0.205489521
422	0.2054606413
423	0.2054023524
424	0.2053473202
425	0.2052816361
426	0.2052221759
427	0.2051779825
428	0.2051283461
429	0.2050917746
430	0.2050353557
431	0.2050033309
432	0.2049662191
433	0.2049168243
434	0.2048787929
435	0.2048668528
436	0.2048415555
437	0.2047860967
438	0.2047590287
439	0.2047038476
440	0.2046752944
441	0.204603115
442	0.2045641335
443	0.2044774942
444	0.2044287829
445	0.2043983631
446	0.2043494964
447	0.2042978781
448	0.204266361
449	0.2042403263
450	0.2042239988
451	0.2041767534
452	0.2041194967
453	0.2040819604
454	0.2040248455
455	0.2039829791
456	0.2039694163
457	0.2039071262
458	0.2038279934
459	0.203798628
460	0.2037518118
461	0.2037294908
462	0.2036667802
463	0.2036275709
464	0.2035658607
465	0.2035093238
466	0.2034615004
467	0.2033953838
468	0.203324312
469	0.203247251
470	0.2032129951
471	0.2031437516
472	0.2030989217
473	0.2030841406
474	0.2030339288
475	0.2029542422
476	0.2028999712
477	0.2028772241
478	0.202828965
479	0.2027872846
480	0.202679131
481	0.2026319315
482	0.2025529913
